,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,SbjNum,NSE,NSEv1,NSEv2,edad,edadx,DNI,sexo,dep,prov,dist,zona,region,ambito,edu,edu2,ocupa,ocupa2,p01,p01otro,p02,p03,p04,p05_1,p05_2,p05_3,p05_4,p06_1,p06_2,p06_3,p06_4,p06_5,p06_6,p06_7,p06_8,p06_9,p06_10,p07,p07otro,p08,p08otro,p11,p12,p12a,p13,p13a,p15_1,p15_2,p15_3,p15_4,PONDERADOR,PERCENTAGE,periodo
447,447,447,447,160610510,NSE E,NSE E,NSE D/E,38,De 25 a 39 años,SI,Hombre,Amazonas,Luya,10512,Norte,2,Peru rural,Secundaria incompleta,Educacion Basica,-1,-1,Economia, ,NS/NP,Mejorará en los próximos meses,No terminará su gobierno,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,NS/NP, ,"No les interesa la gente, solo piensan en ellos", ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,Sí,Desaprueba,Derecha,Derecha,Algo probable,Algo probable,Algo probable,Muy probable,1.3137,0.10857590105931136,NOVIEMBRE 2021
448,448,448,448,160610604,NSE E,NSE E,NSE D/E,49,De 40 a más años,SI,Mujer,Lima,Lima,150125,Lima Metropolitana,1,Lima Metropolitana,Secundaria completa,Educacion Basica,-1,-1,Educacion, ,Aprueba,Mejorará en los próximos meses,No terminará su gobierno,Desaprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,No conoce,No conoce,Desaprueba,No conoce,Desaprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,NS/NP, ,No dejan gobernar al ejecutivo, ,"En marzo todos deberían regresar a clases presenciales, sin excepción",Sí,Desaprueba,Izquierda,Izquierda,Muy probable,Poco probable,Muy probable,Nada probable,1.0735,0.08872362775913124,NOVIEMBRE 2021
449,449,449,449,160610627,NSE C1,NSE C,NSE C,55,De 40 a más años,SI,Hombre,Lima,Huarochirí,150714,Centro,2,Peru urbano,Primaria completa,Educacion Basica,-1,-1,Inestabilidad política, ,Aprueba,Mejorará en los próximos meses,NS/NP,Desaprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,No tiene nada positivo, ,Ahorran y no malgastan su presupuesto, ,"En marzo todos deberían regresar a clases presenciales, sin excepción",No,Desaprueba,Centro,Centro,Nada probable,Nada probable,Poco probable,Nada probable,0.9446,0.07807018051353086,NOVIEMBRE 2021
450,450,450,450,160610642,NSE E,NSE E,NSE D/E,62,De 40 a más años,SI,Mujer,La Libertad,Otuzco,130601,Norte,2,Peru rural,Sin educacion/Educacion Inicial,Educacion Basica,-1,-1,NS/NP, ,Desaprueba,99,No terminará su gobierno,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,NS/NP,Desaprueba,Desaprueba,Aprueba,Desaprueba,No tiene nada positivo, ,"No les interesa la gente, solo piensan en ellos", ,"En marzo todos deberían regresar a clases presenciales, sin excepción",Sí,NS/NP,NS/NP, ,Poco probable,NS/NP,Nada probable,Algo probable,1.3551,0.11199756681546229,NOVIEMBRE 2021
451,451,451,451,160610702,NSE B1,NSE B,NSE A/B,24,De 18 a 24 años,SI,Hombre,Lima,Lima,150142,Lima Metropolitana,1,Lima Metropolitana,Superior universitaria completa,Educacion superior,-1,-1,Falta de transparencia, ,Aprueba,Mejorará en los próximos meses,Durará cinco años como presidente,NS/NP,Aprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,No conoce,No conoce,Aprueba,Fizcalizan bien a los ministros, ,"No les interesa la gente, solo piensan en ellos", ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,No,Desaprueba,Centro,Centro,Muy probable,Muy probable,Muy probable,Muy probable,0.6388,0.05279613731954639,NOVIEMBRE 2021
452,452,452,452,160610768,NSE C1,NSE C,NSE C,28,De 25 a 39 años,SI,Hombre,Lima,Lima,150132,Lima Metropolitana,1,Lima Metropolitana,Superior universitaria incompleta,Educacion superior,-1,-1,Corrupcion, ,Desaprueba,Empeorará en los próximos meses,No terminará su gobierno,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Ahorran y no malgastan su presupuesto, ,"No les interesa la gente, solo piensan en ellos", ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,No,Aprueba,Centro,Centro,Poco probable,Muy probable,Muy probable,Poco probable,1.2423,0.10267476736392057,NOVIEMBRE 2021
453,453,453,453,160610775,NSE C2,NSE C,NSE C,60,De 40 a más años,SI,Hombre,Huánuco,Dos de Mayo,100321,Centro,2,Peru urbano,Primaria incompleta,Educacion Basica,-1,-1,Abandono del Estado, ,Aprueba,Mejorará en los próximos meses,Durará cinco años como presidente,Aprueba,Aprueba,Aprueba,Desaprueba,No conoce,No conoce,Desaprueba,No conoce,No conoce,No conoce,No conoce,No conoce,Desaprueba,Desaprueba,No tiene nada positivo, ,"No les interesa la gente, solo piensan en ellos", ,NS/NP,Sí,Desaprueba,Derecha,Derecha,Muy probable,Muy probable,Muy probable,Muy probable,0.9446,0.07807018051353086,NOVIEMBRE 2021
454,454,454,454,160610779,NSE E,NSE E,NSE D/E,40,De 40 a más años,SI,Hombre,Tumbes,Tumbes,240101,Norte,1,Peru urbano,Superior técnico incompleta,Educacion superior,-1,-1,Empleo, ,Desaprueba,Mejorará en los próximos meses,No terminará su gobierno,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Fizcalizan bien a los ministros, ,La falta de gente capacitada, ,"En marzo todos deberían regresar a clases presenciales, sin excepción",Sí,Aprueba,Derecha,Derecha,Algo probable,Muy probable,Muy probable,Muy probable,0.9446,0.07807018051353086,NOVIEMBRE 2021
455,455,455,455,160610781,NSE B2,NSE B,NSE A/B,22,De 18 a 24 años,SI,Hombre,Junín,Huancayo,120101,Centro,2,Peru urbano,Superior universitaria incompleta,Educacion superior,-1,-1,La idiosincracia ciudadana,LA MEDIOCRIDAD EN GENERAL DE LOS PERUANOS,Desaprueba,Se mantendrá igual los cinco años de su gobierno,No terminará su gobierno,Desaprueba,NS/NP,Desaprueba,Desaprueba,Desaprueba,No conoce,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,No conoce,Desaprueba,Controlan las acciones del Presidente Castillo, ,"No les interesa la gente, solo piensan en ellos", ,"En marzo todos deberían regresar a clases presenciales, sin excepción",Sí,Aprueba,Derecha,Derecha,Algo probable,Muy probable,Muy probable,Muy probable,0.8779,0.07255749679528768,NOVIEMBRE 2021
456,456,456,456,160610821,NSE D,NSE D,NSE D/E,23,De 18 a 24 años,SI,Mujer,Áncash,Yungay,22001,Norte,2,Peru rural,Primaria completa,Educacion Basica,-1,-1,NS/NP, ,Aprueba,99,No terminará su gobierno,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Desaprueba,NS/NP, ,Ahorran y no malgastan su presupuesto, ,"En marzo todos deberían regresar a clases presenciales, sin excepción",Sí,Aprueba,Centro,Centro,Muy probable,Muy probable,Muy probable,Muy probable,1.2594,0.1040880640892873,NOVIEMBRE 2021
457,457,457,457,160610884,NSE C1,NSE C,NSE C,47,De 40 a más años,SI,Hombre,Lima,Lima,150103,Lima Metropolitana,1,Lima Metropolitana,Secundaria completa,Educacion Basica,-1,-1,Corrupcion, ,Desaprueba,Mejorará en los próximos meses,NS/NP,Desaprueba,Aprueba,Desaprueba,Desaprueba,No conoce,No conoce,No conoce,No conoce,No conoce,No conoce,No conoce,No conoce,No conoce,No conoce,Fizcalizan bien a los ministros, ,"No les interesa la gente, solo piensan en ellos", ,"En marzo todos deberían regresar a clases presenciales, sin excepción",Sí,Desaprueba,Derecha,Derecha,Muy probable,Muy probable,Algo probable,Muy probable,1.3367,0.1104768264793952,NOVIEMBRE 2021
458,458,458,458,160610899,NSE C1,NSE C,NSE C,29,De 25 a 39 años,SI,Hombre,Arequipa,Islay,40704,Sur,1,Peru urbano,Secundaria completa,Educacion Basica,-1,-1,Corrupcion, ,NS/NP,Empeorará en los próximos meses,Durará cinco años como presidente,NS/NP,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Fizcalizan bien a los ministros, ,"No les interesa la gente, solo piensan en ellos", ,"En marzo todos deberían regresar a clases presenciales, sin excepción",Sí,Desaprueba,Derecha,Derecha,Muy probable,Muy probable,Algo probable,Algo probable,0.878,0.07256576168841848,NOVIEMBRE 2021
459,459,459,459,160610938,NSE C2,NSE C,NSE C,20,De 18 a 24 años,SI,Mujer,Lima,Lima,150132,Lima Metropolitana,1,Lima Metropolitana,Superior técnico incompleta,Educacion superior,-1,-1,Educacion, ,Desaprueba,Se mantendrá igual los cinco años de su gobierno,No terminará su gobierno,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Controlan las acciones del Presidente Castillo, ,"No les interesa la gente, solo piensan en ellos", ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,No,Aprueba,Derecha,Derecha,Muy probable,Muy probable,Muy probable,Muy probable,1.191,0.09843487718782051,NOVIEMBRE 2021
460,460,460,460,160611083,NSE B2,NSE B,NSE A/B,48,De 40 a más años,SI,Mujer,San Martín,Moyobamba,220101,Selva,3,Peru urbano,Superior técnico completa,Educacion superior,-1,-1,Educacion, ,Aprueba,Mejorará en los próximos meses,Durará cinco años como presidente,Aprueba,Aprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Aprueba,Desaprueba,Aprueba,No tiene nada positivo, ,"No les interesa la gente, solo piensan en ellos", ,"En marzo todos deberían regresar a clases presenciales, sin excepción",Sí,Desaprueba,Izquierda,Izquierda,Muy probable,Muy probable,Muy probable,Muy probable,0.9056,0.0748468721925191,NOVIEMBRE 2021
461,461,461,461,160611101,NSE E,NSE E,NSE D/E,26,De 25 a 39 años,SI,Hombre,La Libertad,Sánchez Carrión,130908,Norte,2,Peru rural,Primaria completa,Educacion Basica,-1,-1,Economia, ,Aprueba,Empeorará en los próximos meses,No terminará su gobierno,Desaprueba,NS/NP,Desaprueba,Desaprueba,Aprueba,Desaprueba,Aprueba,Desaprueba,Aprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Aprueba,Fizcalizan bien a los ministros, ,"No les interesa la gente, solo piensan en ellos", ,"En marzo todos deberían regresar a clases presenciales, sin excepción",Sí,Desaprueba,Derecha,Derecha,Nada probable,Nada probable,Nada probable,Muy probable,1.3137,0.10857590105931136,NOVIEMBRE 2021
462,462,462,462,160611124,NSE C2,NSE C,NSE C,53,De 40 a más años,SI,Hombre,Arequipa,Arequipa,40126,Sur,2,Peru urbano,Primaria incompleta,Educacion Basica,-1,-1,Economia, ,Aprueba,Empeorará en los próximos meses,No terminará su gobierno,Aprueba,Aprueba,Aprueba,Aprueba,Aprueba,Aprueba,Aprueba,Aprueba,Aprueba,Aprueba,Aprueba,Aprueba,Aprueba,Aprueba,No tiene nada positivo, ,La falta de gente capacitada, ,NS/NP,No,Aprueba,NS/NP, ,Nada probable,Nada probable,Nada probable,Nada probable,0.9446,0.07807018051353086,NOVIEMBRE 2021
463,463,463,463,160611151,NSE E,NSE E,NSE D/E,42,De 40 a más años,SI,Mujer,Piura,Talara,200701,Norte,1,Peru rural,Secundaria completa,Educacion Basica,-1,-1,Empleo, ,Aprueba,Mejorará en los próximos meses,Durará cinco años como presidente,Aprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Fizcalizan bien a los ministros, ,"No les interesa la gente, solo piensan en ellos", ,El próximo año deberían mantenerse clases virtuales y no presenciales,No,Desaprueba,Derecha,Derecha,Muy probable,Muy probable,Muy probable,Muy probable,1.3551,0.11199756681546229,NOVIEMBRE 2021
464,464,464,464,160611164,NSE E,NSE E,NSE D/E,26,De 25 a 39 años,SI,Mujer,Lima,Lima,150110,Lima Metropolitana,1,Lima Metropolitana,Primaria incompleta,Educacion Basica,-1,-1,Economia, ,Desaprueba,Se mantendrá igual los cinco años de su gobierno,No terminará su gobierno,NS/NP,Aprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,No conoce,Desaprueba,Aprueba,Desaprueba,Aprueba,Aprueba,Aprueba,No conoce,NS/NP, ,La falta de gente capacitada, ,"En marzo todos deberían regresar a clases presenciales, sin excepción",Sí,Aprueba,Derecha,Derecha,Muy probable,Muy probable,Muy probable,Muy probable,0.9977,0.08245883876598534,NOVIEMBRE 2021
465,465,465,465,160611207,NSE D,NSE D,NSE D/E,36,De 25 a 39 años,SI,Hombre,Lima,Lima,150132,Lima Metropolitana,1,Lima Metropolitana,Secundaria incompleta,Educacion Basica,-1,-1,Corrupcion, ,Aprueba,Mejorará en los próximos meses,Durará cinco años como presidente,Desaprueba,Aprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,No tiene nada positivo, ,No dejan gobernar al ejecutivo, ,"En marzo todos deberían regresar a clases presenciales, sin excepción",Sí,Desaprueba,Centro,Centro,Algo probable,Muy probable,Muy probable,Muy probable,1.6606,0.13724681533005437,NOVIEMBRE 2021
466,466,466,466,160611230,NSE D,NSE D,NSE D/E,21,De 18 a 24 años,SI,Mujer,Lima,Lima,150106,Lima Metropolitana,1,Lima Metropolitana,Superior técnico completa,Educacion superior,-1,-1,Covid19/pandemia, ,Desaprueba,Empeorará en los próximos meses,No terminará su gobierno,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Aprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Controlan las acciones del Presidente Castillo, ,La falta de gente capacitada, ,"En marzo todos deberían regresar a clases presenciales, sin excepción",Sí,Aprueba,Centro,Centro,Muy probable,Muy probable,Muy probable,Algo probable,1.5919,0.1315688337491952,NOVIEMBRE 2021
467,467,467,467,160611250,NSE C1,NSE C,NSE C,29,De 25 a 39 años,SI,Hombre,Lambayeque,Chiclayo,140101,Norte,1,Peru urbano,Superior técnico completa,Educacion superior,-1,-1,Corrupcion, ,NS/NP,99,No terminará su gobierno,NS/NP,Desaprueba,Desaprueba,NS/NP,Desaprueba,Desaprueba,No conoce,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,No tiene nada positivo, ,La falta de gente capacitada, ,"En marzo todos deberían regresar a clases presenciales, sin excepción",Sí,Desaprueba,Centro,Centro,Muy probable,Muy probable,Algo probable,Muy probable,0.878,0.07256576168841848,NOVIEMBRE 2021
468,468,468,468,160611261,NSE C1,NSE C,NSE C,18,De 18 a 24 años,SI,Mujer,Tacna,Tacna,230101,Sur,1,Peru urbano,Superior universitaria incompleta,Educacion superior,-1,-1,Salud, ,Desaprueba,Empeorará en los próximos meses,Durará cinco años como presidente,Desaprueba,Desaprueba,Desaprueba,NS/NP,Desaprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,NS/NP,Desaprueba,No conoce,Desaprueba,Aprueba,Las leyes que han hecho en estos meses son buenas, ,"No les interesa la gente, solo piensan en ellos", ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,No,Aprueba,Derecha,Derecha,Muy probable,Muy probable,Algo probable,Algo probable,0.8416,0.06955734058880751,NOVIEMBRE 2021
469,469,469,469,160611316,NSE D,NSE D,NSE D/E,30,De 25 a 39 años,SI,Mujer,Pasco,Pasco,190101,Centro,2,Peru urbano,Secundaria completa,Educacion Basica,-1,-1,Economia, ,Desaprueba,Mejorará en los próximos meses,Durará cinco años como presidente,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Controlan las acciones del Presidente Castillo, ,"No les interesa la gente, solo piensan en ellos", ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,No,Desaprueba,Centro,Centro,Muy probable,Muy probable,Muy probable,Muy probable,0.8417,0.06956560548193831,NOVIEMBRE 2021
470,470,470,470,160611319,NSE C1,NSE C,NSE C,32,De 25 a 39 años,SI,Mujer,Lima,Huarochirí,150708,Centro,2,Peru urbano,Superior técnico completa,Educacion superior,-1,-1,Economia, ,Desaprueba,Empeorará en los próximos meses,No terminará su gobierno,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Aprueba,Aprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Aprueba,Desaprueba,Aprueba,Fizcalizan bien a los ministros, ,Ahorran y no malgastan su presupuesto, ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,Sí,Desaprueba,Centro,Centro,Muy probable,Muy probable,Muy probable,Muy probable,0.8417,0.06956560548193831,NOVIEMBRE 2021
471,471,471,471,160611382,NSE D,NSE D,NSE D/E,38,De 25 a 39 años,SI,Hombre,Piura,Sullana,200601,Norte,1,Peru urbano,Superior universitaria incompleta,Educacion superior,-1,-1,Economia, ,Desaprueba,Se mantendrá igual los cinco años de su gobierno,No terminará su gobierno,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,No conoce,Desaprueba,Desaprueba,Desaprueba,No conoce,Desaprueba,Desaprueba,Desaprueba,Controlan las acciones del Presidente Castillo, ,Ahorran y no malgastan su presupuesto, ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,No,Desaprueba,Izquierda,Izquierda,Muy probable,Muy probable,NS/NP,Muy probable,0.878,0.07256576168841848,NOVIEMBRE 2021
472,472,472,472,160611386,NSE B2,NSE B,NSE A/B,19,De 18 a 24 años,SI,Hombre,Arequipa,Arequipa,40104,Sur,2,Peru urbano,Secundaria completa,Educacion Basica,-1,-1,Economia, ,Aprueba,Mejorará en los próximos meses,Durará cinco años como presidente,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Las leyes que han hecho en estos meses son buenas, ,La falta de gente capacitada, ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,Sí,Desaprueba,Centro,Centro,Algo probable,Algo probable,Algo probable,Algo probable,0.8779,0.07255749679528768,NOVIEMBRE 2021
473,473,473,473,160611397,NSE C2,NSE C,NSE C,75,De 40 a más años,SI,Hombre,Lima,Lima,150110,Lima Metropolitana,1,Lima Metropolitana,Primaria incompleta,Educacion Basica,-1,-1,Inestabilidad política, ,Desaprueba,Empeorará en los próximos meses,Durará cinco años como presidente,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,No conoce,Aprueba,Aprueba,Aprueba,Desaprueba,No conoce,Aprueba,Desaprueba,Desaprueba,No tiene nada positivo, ,La falta de gente capacitada, ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,No,Desaprueba,Derecha,Derecha,Nada probable,Muy probable,NS/NP,Nada probable,1.3367,0.1104768264793952,NOVIEMBRE 2021
474,474,474,474,160611417,NSE C1,NSE C,NSE C,37,De 25 a 39 años,SI,Mujer,La Libertad,Sánchez Carrión,130901,Norte,2,Peru urbano,Superior universitaria completa,Educacion superior,-1,-1,Economia, ,Aprueba,Empeorará en los próximos meses,No terminará su gobierno,Desaprueba,Aprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Controlan las acciones del Presidente Castillo, ,No dejan gobernar al ejecutivo, ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,No,Desaprueba,Izquierda,Izquierda,Muy probable,Muy probable,Muy probable,Muy probable,0.8417,0.06956560548193831,NOVIEMBRE 2021
475,475,475,475,160611484,NSE E,NSE E,NSE D/E,18,De 18 a 24 años,SI,Mujer,Lima,Lima,150132,Lima Metropolitana,1,Lima Metropolitana,Secundaria completa,Educacion Basica,-1,-1,Educacion, ,Aprueba,Mejorará en los próximos meses,Durará cinco años como presidente,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,NS/NP, ,No dejan gobernar al ejecutivo, ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,Sí,Desaprueba,Centro,Centro,Muy probable,Muy probable,Muy probable,Muy probable,0.9977,0.08245883876598534,NOVIEMBRE 2021
476,476,476,476,160611531,NSE C1,NSE C,NSE C,27,De 25 a 39 años,SI,Hombre,Piura,Sullana,200601,Norte,1,Peru urbano,Superior universitaria incompleta,Educacion superior,-1,-1,Corrupcion, ,NS/NP,Empeorará en los próximos meses,No terminará su gobierno,NS/NP,Desaprueba,Desaprueba,NS/NP,Desaprueba,Desaprueba,NS/NP,Aprueba,Aprueba,NS/NP,Aprueba,Desaprueba,NS/NP,Aprueba,Fizcalizan bien a los ministros, ,La falta de gente capacitada, ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,No,Desaprueba,Centro,Centro,Algo probable,Algo probable,Algo probable,Algo probable,0.878,0.07256576168841848,NOVIEMBRE 2021
477,477,477,477,160611607,NSE B1,NSE B,NSE A/B,28,De 25 a 39 años,SI,Hombre,Tumbes,Tumbes,240102,Norte,1,Peru urbano,Superior universitaria completa,Educacion superior,-1,-1,Inestabilidad política, ,Aprueba,Mejorará en los próximos meses,Durará cinco años como presidente,Desaprueba,Aprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Desaprueba,Aprueba,No conoce,No tiene nada positivo, ,No dejan gobernar al ejecutivo, ,"En marzo todos deberían regresar a clases presenciales, sin excepción",Sí,Desaprueba,Centro,Centro,Muy probable,Muy probable,Muy probable,Muy probable,0.878,0.07256576168841848,NOVIEMBRE 2021
478,478,478,478,160611656,NSE D,NSE D,NSE D/E,24,De 18 a 24 años,SI,Hombre,Ayacucho,Huamanga,50110,Sur,2,Peru rural,Superior técnico completa,Educacion superior,-1,-1,Empleo, ,Desaprueba,Se mantendrá igual los cinco años de su gobierno,No terminará su gobierno,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,No tiene nada positivo, ,Ahorran y no malgastan su presupuesto, ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,No,Desaprueba,Centro,Centro,Muy probable,Algo probable,Muy probable,Muy probable,1.3137,0.10857590105931136,NOVIEMBRE 2021
479,479,479,479,160611772,NSE C1,NSE C,NSE C,30,De 25 a 39 años,SI,Mujer,Apurímac,Abancay,30101,Sur,2,Peru urbano,Superior universitaria incompleta,Educacion superior,-1,-1,Economia, ,Desaprueba,Empeorará en los próximos meses,No terminará su gobierno,Aprueba,Desaprueba,Aprueba,Desaprueba,Aprueba,Aprueba,No conoce,Aprueba,No conoce,Aprueba,Desaprueba,Aprueba,Desaprueba,Aprueba,Controlan las acciones del Presidente Castillo, ,La falta de gente capacitada, ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,No,Aprueba,Derecha,Derecha,Muy probable,Algo probable,Muy probable,Muy probable,0.8417,0.06956560548193831,NOVIEMBRE 2021
480,480,480,480,160611781,NSE B2,NSE B,NSE A/B,42,De 40 a más años,SI,Mujer,Lima,Lima,150132,Lima Metropolitana,1,Lima Metropolitana,Secundaria completa,Educacion Basica,-1,-1,Inseguridad, ,Desaprueba,Empeorará en los próximos meses,No terminará su gobierno,Aprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Fizcalizan bien a los ministros, ,"No les interesa la gente, solo piensan en ellos", ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,Sí,Aprueba,Derecha,Derecha,Muy probable,Muy probable,Algo probable,Muy probable,0.659,0.054465645731967854,NOVIEMBRE 2021
481,481,481,481,160611812,NSE D,NSE D,NSE D/E,39,De 25 a 39 años,SI,Hombre,Lima,Lima,150132,Lima Metropolitana,1,Lima Metropolitana,Secundaria completa,Educacion Basica,-1,-1,Empleo, ,Aprueba,99,NS/NP,Aprueba,NS/NP,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Aprueba,NS/NP,Aprueba,Desaprueba,No tiene nada positivo, ,"No les interesa la gente, solo piensan en ellos", ,"En marzo todos deberían regresar a clases presenciales, sin excepción",Sí,Desaprueba,Izquierda,Izquierda,Nada probable,Nada probable,Nada probable,Nada probable,1.6606,0.13724681533005437,NOVIEMBRE 2021
482,482,482,482,160611905,NSE C2,NSE C,NSE C,18,De 18 a 24 años,SI,Mujer,Junín,Satipo,120601,Selva,3,Peru urbano,Secundaria completa,Educacion Basica,-1,-1,Economia, ,Desaprueba,Se mantendrá igual los cinco años de su gobierno,Durará cinco años como presidente,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Desaprueba,Ahorran y no malgastan su presupuesto, ,La falta de gente capacitada, ,Debe haber un retorno gradual de acuerdo con las condiciones de los colegios,No,Aprueba,Centro,Centro,Muy probable,Muy probable,Muy probable,Muy probable,0.8416,0.06955734058880751,NOVIEMBRE 2021
483,483,483,483,160611940,NSE C1,NSE C,NSE C,18,De 18 a 24 años,SI,Mujer,Lima,Lima,150135,Lima Metropolitana,1,Lima Metropolitana,Secundaria completa,Educacion Basica,-1,-1,Educacion, ,Desaprueba,Mejorará en los próximos meses,No terminará su gobierno,Aprueba,Desaprueba,Aprueba,Aprueba,Aprueba,Aprueba,Aprueba,Aprueba,Aprueba,Desaprueba,Desaprueba,Aprueba,Desaprueba,Desaprueba,Controlan las acciones del Presidente Castillo, ,Ahorran y no malgastan su presupuesto, ,El próximo año deberían mantenerse clases virtuales y no presenciales,No,Aprueba,Derecha,Derecha,Muy probable,Algo probable,Muy probable,Muy probable,1.191,0.09843487718782051,NOVIEMBRE 2021
